sample_id	assembly_mat	assembly_pat	population	accession_mat	accession_pat	sex
HG002	HG002.pri.mat.f1_v2	HG002.alt.pat.f1_v2	Caucasian	GCA_018852615.1	GCA_018852605.1	male
HG00438	HG00438.pri.mat.f1_v2	HG00438.alt.pat.f1_v2	Han Chinese South	GCA_018471515.1	GCA_018472595.1	female
HG005	HG005.pri.mat.f1_v2	HG005.alt.pat.f1_v2	Asian	GCA_018506965.1	GCA_018506945.1	male
HG00621	HG00621.pri.mat.f1_v2	HG00621.alt.pat.f1_v2	Han Chinese South	GCA_018472605.1	GCA_018472575.1	male
HG00673	HG00673.pri.mat.f1_v2	HG00673.alt.pat.f1_v2	Han Chinese South	GCA_018472565.1	GCA_018472585.1	male
HG00733	HG00733.pri.mat.f1_v2	HG00733.alt.pat.f1_v2	Puerto Rican In Puerto Rico	GCA_018506975.1	GCA_018506955.1	female
HG00735	HG00735.pri.mat.f1_v2	HG00735.alt.pat.f1_v2	Puerto Rican In Puerto Rico	GCA_018472765.1	GCA_018472715.1	female
HG00741	HG00741.pri.mat.f1_v2	HG00741.alt.pat.f1_v2	Puerto Rican In Puerto Rico	GCA_018471095.1	GCA_018471105.1	female
HG01071	HG01071.pri.mat.f1_v2	HG01071.alt.pat.f1_v2	Puerto Rican In Puerto Rico	GCA_018472685.1	GCA_018472725.1	female
HG01106	HG01106.pri.mat.f1_v2	HG01106.alt.pat.f1_v2	Puerto Rican In Puerto Rico	GCA_018471345.1	GCA_018471075.1	male
HG01109	HG01109.pri.mat.f1_v2	HG01109.alt.pat.f1_v2	Puerto Rico	GCA_018504365.1	GCA_018504645.1	male
HG01123	HG01123.pri.mat.f1_v2.1	HG01123.alt.pat.f1_v2.1	Colombian In Medellin, Colombia	GCA_018469665.1	GCA_018469695.1	female
HG01175	HG01175.pri.mat.f1_v2	HG01175.alt.pat.f1_v2	Puerto Rican In Puerto Rico	GCA_018471085.1	GCA_018471065.1	female
HG01243	HG01243.pri.mat.f1_v2	HG01243.alt.pat.f1_v2	Puerto Rican In Puerto Rico	GCA_018504375.1	GCA_018504045.1	male
HG01258	HG01258.pri.mat.f1_v2	HG01258.alt.pat.f1_v2	Colombian In Medellin, Colombia	GCA_018469405.1	GCA_018469675.1	male
HG01358	HG01358.pri.mat.f1_v2.1	HG01358.alt.pat.f1_v2.1	Colombian In Medellin, Colombia	GCA_018469865.1	GCA_018469965.1	male
HG01361	HG01361.pri.mat.f1_v2	HG01361.alt.pat.f1_v2	Colombian In Medellin, Colombia	GCA_018469685.1	GCA_018469705.1	female
HG01891	HG01891.pri.mat.f1_v2	HG01891.alt.pat.f1_v2	African Caribbean In Barbados	GCA_018467155.1	GCA_018467165.1	female
HG01928	HG01928.pri.mat.f1_v2	HG01928.alt.pat.f1_v2	Peruvian In Lima, Peru	GCA_018472695.1	GCA_018472705.1	male
HG01952	HG01952.pri.mat.f1_v2	HG01952.alt.pat.f1_v2	Peruvian In Lima, Peru	GCA_018471545.1	GCA_018471555.1	male
HG01978	HG01978.pri.mat.f1_v2	HG01978.alt.pat.f1_v2	Peruvian In Lima, Peru	GCA_018472865.1	GCA_018472845.1	female
HG02055	HG02055.pri.mat.f1_v2	HG02055.alt.pat.f1_v2	Barbados	GCA_018506125.1	GCA_018505855.1	male
HG02080	HG02080.pri.mat.f1_v2	HG02080.alt.pat.f1_v2	Vietnamese Kinh In Ho Chi Minh City, Vietnam	GCA_018504085.1	GCA_018504055.1	female
HG02109	HG02109.pri.mat.f1_v2	HG02109.alt.pat.f1_v2	African Ancestry From Barbados In The Caribbean	GCA_018505825.1	GCA_018505865.1	female
